               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  10,            0.048106,            0.057993,           0.0063504,             0.60056,             0.50649,             0.52334,             0.22357,            0.056528,            0.042148,           0.0085589,            0.006436,            0.006436,            0.006436
                  11,             0.04629,            0.054552,           0.0061608,             0.64942,             0.56275,             0.57231,             0.24539,            0.054472,            0.041294,            0.008423,             0.00604,             0.00604,             0.00604
                  12,            0.046505,            0.052006,            0.006187,             0.66446,              0.5419,              0.5636,               0.242,            0.055068,            0.040484,            0.008463,            0.005644,            0.005644,            0.005644
                  13,             0.04596,            0.052866,           0.0060474,             0.67996,             0.55542,             0.57722,             0.23281,            0.054864,            0.041465,           0.0081989,            0.005248,            0.005248,            0.005248
                  14,            0.044627,            0.051438,           0.0056746,             0.68523,              0.5689,             0.58022,             0.25186,            0.054836,             0.04083,           0.0082659,            0.004852,            0.004852,            0.004852
                  15,            0.044215,            0.054546,            0.005831,             0.67447,             0.57008,             0.58398,             0.25282,            0.054175,            0.041392,           0.0084512,            0.004456,            0.004456,            0.004456
                  16,            0.043634,            0.051666,           0.0057595,             0.66707,             0.57433,             0.58669,             0.26151,             0.05338,            0.041561,            0.008588,             0.00406,             0.00406,             0.00406
                  17,            0.042968,            0.051314,           0.0054501,             0.68851,             0.56793,             0.58952,             0.25992,            0.053775,            0.042169,            0.008278,            0.003664,            0.003664,            0.003664
                  18,            0.041683,            0.048748,           0.0053408,             0.70014,             0.58645,             0.60415,             0.26836,            0.052986,            0.040847,           0.0080354,            0.003268,            0.003268,            0.003268
                  19,            0.041671,            0.050496,           0.0053511,             0.70948,              0.5703,             0.60311,             0.26946,            0.052787,            0.041407,           0.0081735,            0.002872,            0.002872,            0.002872
                  20,            0.041267,            0.047982,           0.0052211,             0.71091,             0.58456,             0.61231,              0.2726,            0.053146,            0.041421,           0.0084666,            0.002476,            0.002476,            0.002476
                  21,            0.040714,            0.047751,           0.0050686,              0.7204,             0.57235,             0.60412,             0.27109,            0.053416,            0.042732,           0.0082142,             0.00208,             0.00208,             0.00208
                  22,            0.040092,             0.04821,           0.0049415,             0.71981,             0.58258,             0.61494,             0.27216,            0.053158,            0.042124,           0.0083166,            0.001684,            0.001684,            0.001684
                  23,            0.039781,            0.046571,           0.0049434,             0.70326,             0.58277,             0.60365,             0.27399,            0.052865,            0.042206,           0.0083476,            0.001288,            0.001288,            0.001288
                  24,              0.0394,            0.045254,           0.0048662,             0.71571,             0.59947,             0.61547,             0.27863,            0.052585,            0.041824,           0.0081815,            0.000892,            0.000892,            0.000892
                   0,             0.10462,            0.068825,             0.02775,             0.56456,             0.03125,            0.012959,           0.0087269,             0.10275,            0.044083,            0.033081,                 0.1,                   0,                   0
                   0,             0.10462,            0.068825,             0.02775,             0.56456,             0.03125,            0.012959,           0.0087269,             0.10275,            0.044083,            0.033081,                 0.1,                   0,                   0
                   0,             0.10439,            0.067156,            0.025951,             0.56466,             0.03125,            0.012748,            0.008711,             0.10277,            0.043961,            0.033093,                 0.1,                   0,                   0
                   0,             0.10439,            0.067156,            0.025951,             0.56466,             0.03125,            0.012748,            0.008711,             0.10277,            0.043961,            0.033093,                 0.1,                   0,                   0
                   0,             0.10431,            0.066831,            0.025839,             0.56525,             0.03125,            0.012992,           0.0087403,             0.10271,            0.043869,            0.033087,                 0.1,                   0,                   0
                   0,             0.10431,            0.066831,            0.025839,             0.56525,             0.03125,            0.012992,           0.0087403,             0.10271,            0.043869,            0.033087,                 0.1,                   0,                   0
                   0,             0.10431,            0.066831,            0.025839,             0.56525,             0.03125,            0.012992,           0.0087403,             0.10271,            0.043869,            0.033087,                 0.1,                   0,                   0
                   0,            0.089801,            0.070871,            0.026844,             0.56139,             0.03125,           0.0096267,           0.0060615,             0.10185,            0.044159,            0.034119,              0.0991,              0.0001,              0.0001
                   0,             0.09461,            0.070946,            0.026047,             0.55829,             0.03125,           0.0094029,           0.0060227,             0.10174,            0.042267,            0.033997,              0.0991,              0.0001,              0.0001
                   0,            0.091645,            0.060715,             0.02361,             0.57279,             0.42999,             0.42501,             0.16907,            0.063776,             0.02346,            0.006006,              0.0991,              0.0001,              0.0001
                   0,            0.094686,            0.054919,            0.024751,             0.57023,             0.43769,             0.43129,             0.17205,            0.063462,            0.023486,           0.0060071,              0.0991,              0.0001,              0.0001
                   0,            0.094686,            0.054919,            0.024751,             0.57023,             0.43769,             0.43129,             0.17205,            0.063462,            0.023486,           0.0060071,              0.0991,              0.0001,              0.0001
                   0,             0.09604,            0.048895,            0.024806,             0.57417,             0.43298,             0.42974,             0.17358,            0.063138,            0.023555,           0.0060145,              0.0991,              0.0001,              0.0001
                   0,             0.09604,            0.048895,            0.024806,             0.57417,             0.43298,             0.42974,             0.17358,            0.063138,            0.023555,           0.0060145,              0.0991,              0.0001,              0.0001
                   0,             0.09604,            0.048895,            0.024806,             0.57417,             0.43298,             0.42974,             0.17358,            0.063138,            0.023555,           0.0060145,              0.0991,              0.0001,              0.0001
                   0,            0.095869,            0.047587,            0.025293,              0.5475,             0.44222,             0.42961,             0.17484,               0.063,            0.023589,           0.0060205,              0.0991,              0.0001,              0.0001
                   0,            0.095869,            0.047587,            0.025293,              0.5475,             0.44222,             0.42961,             0.17484,               0.063,            0.023589,           0.0060205,              0.0991,              0.0001,              0.0001
                   0,            0.095869,            0.047587,            0.025293,              0.5475,             0.44222,             0.42961,             0.17484,               0.063,            0.023589,           0.0060205,              0.0991,              0.0001,              0.0001
                   0,             0.10002,            0.045993,            0.029125,             0.53813,             0.45672,             0.43092,             0.17495,            0.062967,            0.023588,           0.0060161,              0.0991,              0.0001,              0.0001
                   0,             0.10002,            0.045993,            0.029125,             0.53813,             0.45672,             0.43092,             0.17495,            0.062967,            0.023588,           0.0060161,              0.0991,              0.0001,              0.0001
                   0,             0.10002,            0.045993,            0.029125,             0.53813,             0.45672,             0.43092,             0.17495,            0.062967,            0.023588,           0.0060161,              0.0991,              0.0001,              0.0001
                   0,             0.10002,            0.045993,            0.029125,             0.53813,             0.45672,             0.43092,             0.17495,            0.062967,            0.023588,           0.0060161,              0.0991,              0.0001,              0.0001
                   0,             0.10002,            0.045993,            0.029125,             0.53813,             0.45672,             0.43092,             0.17495,            0.062967,            0.023588,           0.0060161,              0.0991,              0.0001,              0.0001
                   0,             0.10002,            0.045993,            0.029125,             0.53813,             0.45672,             0.43092,             0.17495,            0.062967,            0.023588,           0.0060161,              0.0991,              0.0001,              0.0001
                   0,            0.098754,            0.046279,            0.026294,             0.53471,              0.4604,             0.43076,             0.17798,            0.062712,            0.023616,           0.0060302,              0.0991,              0.0001,              0.0001
                   0,            0.098754,            0.046279,            0.026294,             0.53471,              0.4604,             0.43076,             0.17798,            0.062712,            0.023616,           0.0060302,              0.0991,              0.0001,              0.0001
                   0,            0.098754,            0.046279,            0.026294,             0.53471,              0.4604,             0.43076,             0.17798,            0.062712,            0.023616,           0.0060302,              0.0991,              0.0001,              0.0001
                   0,            0.098754,            0.046279,            0.026294,             0.53471,              0.4604,             0.43076,             0.17798,            0.062712,            0.023616,           0.0060302,              0.0991,              0.0001,              0.0001
